Frame,Team,Player,X,Y
6,Team B,9,70.0,61.0
6,Team B,10,43.0,13.0
7,Team A,0,45.0,43.0
7,Team A,1,55.0,15.0
7,Team A,2,53.0,25.0
7,Team A,3,71.0,53.0
7,Team A,4,33.0,56.0
7,Team A,5,2.0,15.0
7,Team A,6,2.0,62.0
7,Team A,7,7.0,32.0
7,Team A,8,44.0,60.0
7,Team A,9,22.0,24.0
7,Team A,10,48.0,28.0
7,Team B,0,65.0,9.0
7,Team B,1,100.0,6.0
7,Team B,2,76.0,8.0
7,Team B,3,61.0,19.0
7,Team B,4,33.0,44.0
7,Team B,5,18.0,29.0
7,Team B,6,22.0,35.0
7,Team B,7,76.0,22.0
7,Team B,8,88.0,27.0
7,Team B,9,70.0,61.0
7,Team B,10,43.0,13.0
8,Team A,0,45.0,43.0
8,Team A,1,55.0,15.0
8,Team A,2,52.0,26.0
8,Team A,3,70.0,53.0
8,Team A,4,33.0,56.0
8,Team A,5,1.0,14.0
8,Team A,6,2.0,62.0
8,Team A,7,6.0,33.0
8,Team A,8,45.0,61.0
8,Team A,9,23.0,25.0
8,Team A,10,48.0,28.0
8,Team B,0,65.0,9.0
8,Team B,1,100.0,6.0
8,Team B,2,76.0,8.0
8,Team B,3,61.0,19.0
8,Team B,4,34.0,44.0
8,Team B,5,19.0,29.0
8,Team B,6,22.0,35.0
8,Team B,7,76.0,22.0
8,Team B,8,88.0,27.0
8,Team B,9,70.0,61.0
8,Team B,10,43.0,13.0
9,Team A,0,45.0,43.0
9,Team A,1,55.0,15.0
9,Team A,2,51.0,25.0
9,Team A,3,69.0,53.0
9,Team A,4,33.0,56.0
9,Team A,5,2.0,15.0
9,Team A,6,3.0,61.0
9,Team A,7,6.0,33.0
9,Team A,8,45.0,61.0
9,Team A,9,23.0,25.0
9,Team A,10,47.0,27.0
9,Team B,0,65.0,9.0
9,Team B,1,100.0,6.0
9,Team B,2,76.0,8.0
9,Team B,3,61.0,19.0
9,Team B,4,35.0,44.0
9,Team B,5,20.0,29.0
9,Team B,6,21.0,36.0
9,Team B,7,76.0,22.0
9,Team B,8,88.0,27.0
9,Team B,9,71.0,62.0
9,Team B,10,42.0,14.0
10,Team A,0,44.0,42.0
10,Team A,1,56.0,16.0
10,Team A,2,52.0,24.0
10,Team A,3,69.0,53.0
10,Team A,4,33.0,56.0
10,Team A,5,1.0,14.0
10,Team A,6,2.0,62.0
10,Team A,7,7.0,34.0
10,Team A,8,44.0,62.0
10,Team A,9,23.0,25.0
10,Team A,10,48.0,28.0
10,Team B,0,65.0,9.0
10,Team B,1,100.0,6.0
10,Team B,2,76.0,8.0
10,Team B,3,60.0,18.0
10,Team B,4,35.0,44.0
10,Team B,5,20.0,29.0
10,Team B,6,22.0,35.0
10,Team B,7,76.0,22.0
10,Team B,8,88.0,27.0
10,Team B,9,70.0,61.0
10,Team B,10,43.0,13.0
11,Team A,0,45.0,43.0
11,Team A,1,55.0,15.0
11,Team A,2,53.0,24.0
11,Team A,3,69.0,53.0
11,Team A,4,32.0,55.0
11,Team A,5,2.0,15.0
11,Team A,6,3.0,61.0
11,Team A,7,6.0,33.0
11,Team A,8,45.0,61.0
11,Team A,9,23.0,25.0
11,Team A,10,48.0,28.0
11,Team B,0,66.0,10.0
11,Team B,1,99.0,7.0
11,Team B,2,76.0,8.0
11,Team B,3,61.0,19.0
11,Team B,4,35.0,44.0
11,Team B,5,20.0,29.0
11,Team B,6,22.0,35.0
11,Team B,7,76.0,22.0
11,Team B,8,88.0,27.0
11,Team B,9,70.0,61.0
11,Team B,10,43.0,13.0
12,Team A,0,45.0,43.0
12,Team A,1,55.0,15.0
12,Team A,2,54.0,23.0
12,Team A,3,69.0,53.0
12,Team A,4,33.0,56.0
12,Team A,5,2.0,15.0
12,Team A,6,2.0,62.0
12,Team A,7,6.0,33.0
12,Team A,8,45.0,61.0
12,Team A,9,23.0,25.0
12,Team A,10,48.0,28.0
12,Team B,0,65.0,9.0
12,Team B,1,100.0,6.0
12,Team B,2,75.0,9.0
12,Team B,3,61.0,19.0
12,Team B,4,35.0,44.0
12,Team B,5,20.0,29.0
12,Team B,6,22.0,35.0
12,Team B,7,77.0,21.0
12,Team B,8,88.0,27.0
12,Team B,9,70.0,61.0
12,Team B,10,43.0,13.0
13,Team A,0,45.0,43.0
13,Team A,1,54.0,14.0
13,Team A,2,54.0,24.0
13,Team A,3,70.0,54.0
13,Team A,4,33.0,56.0
13,Team A,5,2.0,15.0
13,Team A,6,2.0,62.0
13,Team A,7,5.0,34.0
13,Team A,8,45.0,61.0
13,Team A,9,23.0,25.0
13,Team A,10,49.0,27.0
13,Team B,0,66.0,8.0
13,Team B,1,100.0,6.0
13,Team B,2,76.0,8.0
13,Team B,3,61.0,19.0
13,Team B,4,36.0,43.0
13,Team B,5,19.0,30.0
13,Team B,6,21.0,36.0
13,Team B,7,76.0,22.0
13,Team B,8,89.0,28.0
13,Team B,9,70.0,61.0
13,Team B,10,42.0,14.0
14,Team A,0,45.0,43.0
14,Team A,1,55.0,13.0
14,Team A,2,54.0,24.0
14,Team A,3,71.0,55.0
14,Team A,4,33.0,56.0
14,Team A,5,3.0,16.0
14,Team A,6,2.0,62.0
14,Team A,7,6.0,35.0
14,Team A,8,45.0,61.0
14,Team A,9,23.0,25.0
14,Team A,10,48.0,28.0
14,Team B,0,65.0,9.0
14,Team B,1,100.0,6.0
14,Team B,2,76.0,8.0
14,Team B,3,61.0,19.0
14,Team B,4,35.0,44.0
14,Team B,5,20.0,29.0
14,Team B,6,22.0,35.0
14,Team B,7,76.0,22.0
14,Team B,8,88.0,27.0
14,Team B,9,70.0,61.0
14,Team B,10,43.0,13.0
15,Team A,0,46.0,42.0
15,Team A,1,55.0,14.0
15,Team A,2,53.0,23.0
15,Team A,3,70.0,54.0
15,Team A,4,33.0,56.0
15,Team A,5,2.0,15.0
15,Team A,6,1.0,61.0
15,Team A,7,6.0,34.0
15,Team A,8,45.0,61.0
15,Team A,9,23.0,25.0
15,Team A,10,48.0,28.0
15,Team B,0,65.0,9.0
15,Team B,1,100.0,6.0
15,Team B,2,76.0,8.0
15,Team B,3,61.0,19.0
15,Team B,4,35.0,44.0
15,Team B,5,20.0,29.0
15,Team B,6,22.0,35.0
15,Team B,7,75.0,23.0
15,Team B,8,88.0,27.0
15,Team B,9,70.0,61.0
15,Team B,10,43.0,13.0
16,Team A,0,45.0,43.0
16,Team A,1,55.0,15.0
16,Team A,2,54.0,24.0
16,Team A,3,69.0,53.0
16,Team A,4,33.0,56.0
16,Team A,5,2.0,15.0
16,Team A,6,2.0,62.0
16,Team A,7,6.0,33.0
16,Team A,8,45.0,61.0
16,Team A,9,23.0,25.0
16,Team A,10,48.0,28.0
16,Team B,0,66.0,10.0
16,Team B,1,100.0,6.0
16,Team B,2,75.0,9.0
16,Team B,3,62.0,18.0
16,Team B,4,36.0,45.0
16,Team B,5,20.0,29.0
16,Team B,6,22.0,35.0
16,Team B,7,74.0,24.0
16,Team B,8,89.0,26.0
16,Team B,9,70.0,61.0
16,Team B,10,43.0,13.0
17,Team A,0,44.0,44.0
17,Team A,1,56.0,14.0
17,Team A,2,54.0,24.0
17,Team A,3,69.0,53.0
17,Team A,4,33.0,56.0
17,Team A,5,2.0,15.0
17,Team A,6,2.0,62.0
17,Team A,7,6.0,33.0
17,Team A,8,46.0,62.0
17,Team A,9,23.0,25.0
17,Team A,10,48.0,28.0
17,Team B,0,65.0,11.0
17,Team B,1,100.0,6.0
17,Team B,2,76.0,10.0
17,Team B,3,61.0,19.0
17,Team B,4,35.0,46.0
17,Team B,5,20.0,29.0
17,Team B,6,22.0,35.0
17,Team B,7,75.0,23.0
17,Team B,8,88.0,27.0
17,Team B,9,70.0,61.0
17,Team B,10,43.0,13.0
18,Team A,0,45.0,43.0
18,Team A,1,55.0,15.0
18,Team A,2,54.0,24.0
18,Team A,3,69.0,53.0
18,Team A,4,33.0,56.0
18,Team A,5,2.0,15.0
18,Team A,6,2.0,62.0
18,Team A,7,5.0,32.0
18,Team A,8,45.0,61.0
18,Team A,9,23.0,25.0
18,Team A,10,48.0,28.0
18,Team B,0,65.0,10.0
18,Team B,1,100.0,6.0
18,Team B,2,76.0,9.0
18,Team B,3,61.0,19.0
18,Team B,4,35.0,45.0
18,Team B,5,20.0,29.0
18,Team B,6,23.0,36.0
18,Team B,7,76.0,22.0
18,Team B,8,88.0,27.0
18,Team B,9,71.0,62.0
18,Team B,10,43.0,13.0
19,Team A,0,45.0,43.0
19,Team A,1,56.0,16.0
19,Team A,2,54.0,24.0
19,Team A,3,69.0,53.0
19,Team A,4,34.0,55.0
19,Team A,5,2.0,15.0
19,Team A,6,2.0,62.0
19,Team A,7,4.0,33.0
19,Team A,8,45.0,61.0
19,Team A,9,23.0,25.0
19,Team A,10,48.0,28.0
19,Team B,0,65.0,9.0
19,Team B,1,100.0,6.0
19,Team B,2,76.0,8.0
19,Team B,3,61.0,19.0
19,Team B,4,35.0,44.0
19,Team B,5,20.0,29.0
19,Team B,6,22.0,35.0
19,Team B,7,75.0,21.0
19,Team B,8,89.0,26.0
19,Team B,9,70.0,61.0
19,Team B,10,42.0,12.0
20,Team A,0,45.0,43.0
20,Team A,1,55.0,17.0
20,Team A,2,54.0,24.0
20,Team A,3,70.0,52.0
20,Team A,4,33.0,56.0
20,Team A,5,2.0,15.0
20,Team A,6,2.0,62.0
20,Team A,7,5.0,33.0
20,Team A,8,45.0,61.0
20,Team A,9,23.0,25.0
20,Team A,10,48.0,28.0
20,Team B,0,65.0,9.0
20,Team B,1,100.0,6.0
20,Team B,2,76.0,8.0
20,Team B,3,61.0,19.0
20,Team B,4,36.0,45.0
20,Team B,5,20.0,29.0
20,Team B,6,22.0,35.0
20,Team B,7,76.0,22.0
20,Team B,8,88.0,27.0
20,Team B,9,70.0,61.0
20,Team B,10,41.0,11.0
21,Team A,0,45.0,43.0
21,Team A,1,55.0,16.0
21,Team A,2,54.0,24.0
21,Team A,3,71.0,53.0
21,Team A,4,32.0,55.0
21,Team A,5,2.0,15.0
21,Team A,6,2.0,62.0
21,Team A,7,6.0,34.0
21,Team A,8,45.0,61.0
21,Team A,9,22.0,26.0
21,Team A,10,48.0,28.0
21,Team B,0,66.0,8.0
21,Team B,1,100.0,6.0
21,Team B,2,76.0,8.0
21,Team B,3,61.0,19.0
21,Team B,4,35.0,44.0
21,Team B,5,20.0,29.0
21,Team B,6,23.0,36.0
21,Team B,7,75.0,21.0
21,Team B,8,88.0,27.0
21,Team B,9,70.0,61.0
21,Team B,10,42.0,12.0
22,Team A,0,45.0,43.0
22,Team A,1,55.0,15.0
22,Team A,2,55.0,25.0
22,Team A,3,70.0,53.0
22,Team A,4,33.0,56.0
22,Team A,5,2.0,15.0
22,Team A,6,2.0,62.0
22,Team A,7,6.0,33.0
22,Team A,8,45.0,61.0
22,Team A,9,23.0,25.0
22,Team A,10,48.0,28.0
22,Team B,0,65.0,9.0
22,Team B,1,100.0,6.0
22,Team B,2,76.0,8.0
22,Team B,3,61.0,19.0
22,Team B,4,34.0,43.0
22,Team B,5,19.0,28.0
22,Team B,6,22.0,35.0
22,Team B,7,76.0,22.0
22,Team B,8,87.0,26.0
22,Team B,9,71.0,62.0
22,Team B,10,41.0,11.0
23,Team A,0,45.0,43.0
23,Team A,1,56.0,14.0
23,Team A,2,54.0,24.0
23,Team A,3,69.0,53.0
23,Team A,4,33.0,56.0
23,Team A,5,2.0,15.0
23,Team A,6,2.0,62.0
23,Team A,7,5.0,32.0
23,Team A,8,45.0,61.0
23,Team A,9,24.0,24.0
23,Team A,10,48.0,28.0
23,Team B,0,65.0,9.0
23,Team B,1,99.0,7.0
23,Team B,2,75.0,9.0
23,Team B,3,62.0,20.0
23,Team B,4,35.0,44.0
23,Team B,5,20.0,29.0
23,Team B,6,22.0,35.0
23,Team B,7,75.0,21.0
23,Team B,8,88.0,27.0
23,Team B,9,70.0,61.0
23,Team B,10,42.0,12.0
24,Team A,0,46.0,42.0
24,Team A,1,55.0,15.0
24,Team A,2,54.0,24.0
24,Team A,3,70.0,52.0
24,Team A,4,33.0,56.0
24,Team A,5,1.0,14.0
24,Team A,6,3.0,63.0
24,Team A,7,4.0,33.0
24,Team A,8,45.0,61.0
24,Team A,9,23.0,23.0
24,Team A,10,48.0,28.0
24,Team B,0,64.0,10.0
24,Team B,1,100.0,6.0
24,Team B,2,76.0,8.0
24,Team B,3,61.0,21.0
24,Team B,4,36.0,45.0
24,Team B,5,20.0,29.0
24,Team B,6,21.0,36.0
24,Team B,7,74.0,22.0
24,Team B,8,88.0,27.0
24,Team B,9,70.0,61.0
24,Team B,10,43.0,13.0
25,Team A,0,45.0,43.0
25,Team A,1,55.0,15.0
25,Team A,2,54.0,24.0
25,Team A,3,69.0,53.0
25,Team A,4,33.0,56.0
25,Team A,5,0.0,13.0
25,Team A,6,4.0,62.0
25,Team A,7,5.0,34.0
25,Team A,8,44.0,60.0
25,Team A,9,23.0,24.0
25,Team A,10,47.0,27.0
25,Team B,0,63.0,11.0
25,Team B,1,101.0,7.0
25,Team B,2,76.0,8.0
25,Team B,3,61.0,20.0
25,Team B,4,35.0,44.0
25,Team B,5,20.0,29.0
25,Team B,6,22.0,35.0
25,Team B,7,75.0,22.0
25,Team B,8,88.0,27.0
25,Team B,9,70.0,61.0
25,Team B,10,43.0,13.0
26,Team A,0,45.0,43.0
26,Team A,1,55.0,15.0
26,Team A,2,53.0,23.0
26,Team A,3,69.0,53.0
26,Team A,4,33.0,56.0
26,Team A,5,1.0,14.0
26,Team A,6,3.0,62.0
26,Team A,7,6.0,33.0
26,Team A,8,45.0,61.0
26,Team A,9,23.0,25.0
26,Team A,10,48.0,28.0
26,Team B,0,62.0,10.0
26,Team B,1,100.0,6.0
26,Team B,2,76.0,8.0
26,Team B,3,60.0,21.0
26,Team B,4,36.0,43.0
26,Team B,5,20.0,29.0
26,Team B,6,23.0,36.0
26,Team B,7,76.0,22.0
26,Team B,8,88.0,27.0
26,Team B,9,70.0,61.0
26,Team B,10,42.0,12.0
27,Team A,0,45.0,43.0
27,Team A,1,55.0,15.0
27,Team A,2,54.0,24.0
27,Team A,3,69.0,53.0
27,Team A,4,32.0,55.0
27,Team A,5,2.0,15.0
27,Team A,6,2.0,62.0
27,Team A,7,5.0,34.0
27,Team A,8,45.0,61.0
27,Team A,9,23.0,25.0
27,Team A,10,49.0,29.0
27,Team B,0,63.0,9.0
27,Team B,1,100.0,6.0
27,Team B,2,76.0,8.0
27,Team B,3,61.0,20.0
27,Team B,4,35.0,44.0
27,Team B,5,20.0,29.0
27,Team B,6,22.0,35.0
27,Team B,7,76.0,22.0
27,Team B,8,88.0,27.0
27,Team B,9,69.0,60.0
27,Team B,10,43.0,13.0
28,Team A,0,45.0,43.0
28,Team A,1,55.0,15.0
28,Team A,2,55.0,25.0
28,Team A,3,69.0,53.0
28,Team A,4,31.0,54.0
28,Team A,5,3.0,16.0
28,Team A,6,1.0,61.0
28,Team A,7,6.0,33.0
28,Team A,8,45.0,61.0
28,Team A,9,24.0,26.0
28,Team A,10,50.0,28.0
28,Team B,0,62.0,10.0
28,Team B,1,100.0,6.0
28,Team B,2,76.0,8.0
28,Team B,3,61.0,19.0
28,Team B,4,35.0,44.0
28,Team B,5,20.0,29.0
28,Team B,6,22.0,35.0
28,Team B,7,77.0,23.0
28,Team B,8,88.0,27.0
28,Team B,9,70.0,61.0
28,Team B,10,42.0,12.0
29,Team A,0,45.0,43.0
29,Team A,1,55.0,15.0
29,Team A,2,54.0,24.0
29,Team A,3,69.0,53.0
29,Team A,4,32.0,55.0
29,Team A,5,2.0,15.0
29,Team A,6,2.0,62.0
29,Team A,7,6.0,33.0
29,Team A,8,45.0,61.0
29,Team A,9,23.0,25.0
29,Team A,10,49.0,27.0
29,Team B,0,61.0,11.0
29,Team B,1,101.0,5.0
29,Team B,2,76.0,8.0
29,Team B,3,61.0,19.0
29,Team B,4,34.0,45.0
29,Team B,5,20.0,29.0
29,Team B,6,22.0,35.0
29,Team B,7,76.0,22.0
29,Team B,8,88.0,27.0
29,Team B,9,71.0,60.0
29,Team B,10,41.0,11.0
30,Team A,0,45.0,43.0
30,Team A,1,54.0,14.0
30,Team A,2,54.0,24.0
30,Team A,3,68.0,54.0
30,Team A,4,33.0,56.0
30,Team A,5,2.0,15.0
30,Team A,6,2.0,62.0
30,Team A,7,6.0,33.0
30,Team A,8,45.0,61.0
30,Team A,9,23.0,25.0
30,Team A,10,48.0,28.0
30,Team B,0,60.0,10.0
30,Team B,1,100.0,6.0
30,Team B,2,77.0,9.0
30,Team B,3,61.0,19.0
30,Team B,4,33.0,44.0
30,Team B,5,20.0,29.0
30,Team B,6,21.0,36.0
30,Team B,7,76.0,22.0
30,Team B,8,88.0,27.0
30,Team B,9,70.0,61.0
30,Team B,10,42.0,12.0
31,Team A,0,44.0,44.0
31,Team A,1,53.0,15.0
31,Team A,2,54.0,24.0
31,Team A,3,69.0,53.0
31,Team A,4,33.0,56.0
31,Team A,5,2.0,15.0
31,Team A,6,1.0,63.0
31,Team A,7,7.0,32.0
31,Team A,8,45.0,61.0
31,Team A,9,23.0,25.0
31,Team A,10,48.0,28.0
31,Team B,0,59.0,11.0
31,Team B,1,100.0,6.0
31,Team B,2,76.0,8.0
31,Team B,3,61.0,19.0
31,Team B,4,34.0,44.0
31,Team B,5,21.0,28.0
31,Team B,6,22.0,35.0
31,Team B,7,75.0,21.0
31,Team B,8,88.0,27.0
31,Team B,9,70.0,61.0
31,Team B,10,41.0,11.0
32,Team A,0,45.0,45.0
32,Team A,1,52.0,16.0
32,Team A,2,54.0,24.0
32,Team A,3,68.0,52.0
32,Team A,4,33.0,56.0
32,Team A,5,3.0,14.0
32,Team A,6,2.0,62.0
32,Team A,7,6.0,33.0
32,Team A,8,44.0,62.0
32,Team A,9,23.0,25.0
32,Team A,10,48.0,28.0
32,Team B,0,60.0,10.0
32,Team B,1,100.0,6.0
32,Team B,2,77.0,7.0
32,Team B,3,61.0,19.0
32,Team B,4,35.0,43.0
32,Team B,5,20.0,27.0
32,Team B,6,22.0,35.0
32,Team B,7,74.0,22.0
32,Team B,8,87.0,28.0
32,Team B,9,70.0,61.0
32,Team B,10,42.0,12.0
33,Team A,0,44.0,44.0
33,Team A,1,53.0,15.0
33,Team A,2,54.0,24.0
33,Team A,3,69.0,51.0
33,Team A,4,33.0,56.0
33,Team A,5,2.0,15.0
33,Team A,6,2.0,62.0
33,Team A,7,6.0,33.0
33,Team A,8,45.0,61.0
33,Team A,9,23.0,25.0
33,Team A,10,48.0,28.0
33,Team B,0,61.0,9.0
33,Team B,1,101.0,5.0
33,Team B,2,76.0,8.0
33,Team B,3,61.0,19.0
33,Team B,4,34.0,42.0
33,Team B,5,20.0,28.0
33,Team B,6,22.0,35.0
33,Team B,7,75.0,22.0
33,Team B,8,88.0,27.0
33,Team B,9,70.0,61.0
33,Team B,10,41.0,13.0
34,Team A,0,45.0,43.0
34,Team A,1,54.0,15.0
34,Team A,2,55.0,25.0
34,Team A,3,69.0,52.0
34,Team A,4,33.0,56.0
34,Team A,5,2.0,15.0
34,Team A,6,3.0,61.0
34,Team A,7,6.0,33.0
34,Team A,8,45.0,61.0
34,Team A,9,23.0,25.0
34,Team A,10,48.0,28.0
34,Team B,0,62.0,9.0
34,Team B,1,100.0,6.0
34,Team B,2,76.0,8.0
34,Team B,3,61.0,19.0
34,Team B,4,35.0,43.0
34,Team B,5,19.0,29.0
34,Team B,6,22.0,35.0
34,Team B,7,76.0,22.0
34,Team B,8,88.0,27.0
34,Team B,9,70.0,61.0
34,Team B,10,42.0,13.0
35,Team A,0,45.0,43.0
35,Team A,1,55.0,15.0
35,Team A,2,54.0,24.0
35,Team A,3,69.0,53.0
35,Team A,4,32.0,55.0
35,Team A,5,3.0,14.0
35,Team A,6,2.0,62.0
35,Team A,7,5.0,34.0
35,Team A,8,45.0,61.0
35,Team A,9,23.0,25.0
35,Team A,10,48.0,28.0
35,Team B,0,63.0,9.0
35,Team B,1,100.0,6.0
35,Team B,2,76.0,8.0
35,Team B,3,61.0,19.0
35,Team B,4,35.0,44.0
35,Team B,5,20.0,29.0
35,Team B,6,21.0,36.0
35,Team B,7,75.0,21.0
35,Team B,8,88.0,27.0
35,Team B,9,70.0,61.0
35,Team B,10,43.0,13.0
36,Team A,0,45.0,43.0
36,Team A,1,55.0,15.0
36,Team A,2,55.0,25.0
36,Team A,3,69.0,53.0
36,Team A,4,33.0,56.0
36,Team A,5,2.0,15.0
36,Team A,6,3.0,61.0
36,Team A,7,6.0,33.0
36,Team A,8,45.0,61.0
36,Team A,9,22.0,26.0
36,Team A,10,47.0,27.0
36,Team B,0,62.0,8.0
36,Team B,1,101.0,7.0
36,Team B,2,75.0,7.0
36,Team B,3,60.0,20.0
36,Team B,4,36.0,43.0
36,Team B,5,20.0,29.0
36,Team B,6,22.0,35.0
36,Team B,7,76.0,22.0
36,Team B,8,88.0,27.0
36,Team B,9,70.0,61.0
36,Team B,10,42.0,12.0
37,Team A,0,46.0,44.0
37,Team A,1,55.0,15.0
37,Team A,2,56.0,26.0
37,Team A,3,70.0,54.0
37,Team A,4,33.0,56.0
37,Team A,5,2.0,15.0
37,Team A,6,2.0,62.0
37,Team A,7,7.0,34.0
37,Team A,8,45.0,61.0
37,Team A,9,23.0,25.0
37,Team A,10,46.0,26.0
37,Team B,0,63.0,9.0
37,Team B,1,100.0,6.0
37,Team B,2,74.0,8.0
37,Team B,3,61.0,19.0
37,Team B,4,35.0,44.0
37,Team B,5,20.0,29.0
37,Team B,6,21.0,34.0
37,Team B,7,76.0,22.0
37,Team B,8,88.0,27.0
37,Team B,9,71.0,60.0
37,Team B,10,43.0,13.0
38,Team A,0,45.0,43.0
38,Team A,1,55.0,15.0
38,Team A,2,55.0,25.0
38,Team A,3,71.0,55.0
38,Team A,4,33.0,56.0
38,Team A,5,1.0,16.0
38,Team A,6,2.0,62.0
38,Team A,7,6.0,33.0
38,Team A,8,44.0,60.0
38,Team A,9,22.0,24.0
38,Team A,10,47.0,27.0
38,Team B,0,64.0,9.0
38,Team B,1,100.0,6.0
38,Team B,2,75.0,8.0
38,Team B,3,61.0,19.0
38,Team B,4,35.0,44.0
38,Team B,5,20.0,29.0
38,Team B,6,22.0,35.0
38,Team B,7,76.0,22.0
38,Team B,8,88.0,27.0
38,Team B,9,70.0,61.0
38,Team B,10,44.0,14.0
39,Team A,0,44.0,42.0
39,Team A,1,55.0,15.0
39,Team A,2,54.0,24.0
39,Team A,3,70.0,56.0
39,Team A,4,32.0,57.0
39,Team A,5,0.0,15.0
39,Team A,6,1.0,61.0
39,Team A,7,6.0,33.0
39,Team A,8,45.0,59.0
39,Team A,9,23.0,25.0
39,Team A,10,48.0,26.0
39,Team B,0,65.0,9.0
39,Team B,1,99.0,7.0
39,Team B,2,76.0,8.0
39,Team B,3,61.0,19.0
